topic_title,topic_url,total_posts,agree,disagree,mixed,unknown_stance,positive_posts,negative_posts,neutral_posts,unknown_sentiment_posts,topic_sentiment_final
Anyone else having product quality issues with Coloplast?,https://www.uoaa.org/forum/viewtopic.php?t=27694,14,3,2,0,9,5,4,5,0,negative
HELP. My stoma opening is pointed down,https://www.uoaa.org/forum/viewtopic.php?t=26710,3,2,0,0,1,3,0,0,0,negative
Well I guess I should post my low profile stoma in a belly fold solution,https://www.uoaa.org/forum/viewtopic.php?t=27762,7,7,0,0,0,5,1,1,0,positive
"$25 per bag change, there's GOT to be a better way!",https://www.uoaa.org/forum/viewtopic.php?t=27780,2,0,0,0,2,1,0,1,0,negative
Returning to exercise...but HOW?!,https://www.uoaa.org/forum/viewtopic.php?t=27737,14,8,0,0,6,12,0,2,0,neutral
Leakage,https://www.uoaa.org/forum/viewtopic.php?t=27612,2,2,0,0,0,0,1,1,0,negative
Why I Don’t Use Moldable Rings — And What Works Better,https://www.uoaa.org/forum/viewtopic.php?t=27770,2,2,0,0,0,2,0,0,0,negative
Ileostomy leaks/finding new products,https://www.uoaa.org/forum/viewtopic.php?t=27771,3,2,0,0,1,1,1,1,0,negative
Itching and Burning Under Barrier Adhesive,https://www.uoaa.org/forum/viewtopic.php?t=27765,4,3,0,0,1,2,1,1,0,negative
Peristeen Anal Plug /Tampon,https://www.uoaa.org/forum/viewtopic.php?t=27769,1,0,0,0,1,0,1,0,0,negative
Anyone else w summer skin issue?,https://www.uoaa.org/forum/viewtopic.php?t=27760,2,2,0,0,0,1,0,1,0,negative
Soon to be Uro Ostomate,https://www.uoaa.org/forum/viewtopic.php?t=27763,1,1,0,0,0,1,0,0,0,neutral
We need a new bag design!,https://www.uoaa.org/forum/viewtopic.php?t=27752,1,0,0,1,0,0,0,1,0,negative
Okay had some bleeding today,https://www.uoaa.org/forum/viewtopic.php?t=27749,2,1,0,0,1,1,0,1,0,negative
Mixing a barrier ring with paste,https://www.uoaa.org/forum/viewtopic.php?t=27748,2,2,0,0,0,2,0,0,0,positive
Applying a wafer successfully tips,https://www.uoaa.org/forum/viewtopic.php?t=27742,1,1,0,0,0,1,0,0,0,positive
leaking around urosotomy bag,https://www.uoaa.org/forum/viewtopic.php?t=27741,1,0,0,0,1,0,0,1,0,negative
Okay just to let you all know I'm doing better now,https://www.uoaa.org/forum/viewtopic.php?t=27709,1,1,0,0,0,1,0,0,0,positive
Wrap for Hollister 8331 pouch,https://www.uoaa.org/forum/viewtopic.php?t=27711,3,0,0,0,3,1,0,2,0,neutral
My newest latest method for near flush stoma and belly fold. Updated.,https://www.uoaa.org/forum/viewtopic.php?t=27715,3,3,0,0,0,3,0,0,0,positive
