topic_title,topic_url,total_posts,agree,disagree,mixed,unknown_stance,positive_posts,negative_posts,neutral_posts,unknown_sentiment_posts,topic_sentiment_final
Keeping an ostomy bag clean and reducing odors,https://www.uoaa.org/forum/viewtopic.php?t=27790,2,1,0,0,1,1,0,1,0,positive
Anyone else having product quality issues with Coloplast?,https://www.uoaa.org/forum/viewtopic.php?t=27694,9,1,1,0,7,4,1,4,0,negative
HELP. My stoma opening is pointed down,https://www.uoaa.org/forum/viewtopic.php?t=26710,5,3,0,0,2,3,1,1,0,negative
Training Health Care Professionals on Osotmies,https://www.uoaa.org/forum/viewtopic.php?t=27782,1,0,0,0,1,1,0,0,0,negative
"$25 per bag change, there's GOT to be a better way!",https://www.uoaa.org/forum/viewtopic.php?t=27780,3,1,0,0,2,1,1,1,0,negative
Cost breakdown per dump of odor control products,https://www.uoaa.org/forum/viewtopic.php?t=27783,1,1,0,0,0,0,0,1,0,neutral
Leakage,https://www.uoaa.org/forum/viewtopic.php?t=27612,2,2,0,0,0,1,1,0,0,negative
Why I Don’t Use Moldable Rings — And What Works Better,https://www.uoaa.org/forum/viewtopic.php?t=27770,1,0,0,1,0,1,0,0,0,negative
Ileostomy leaks/finding new products,https://www.uoaa.org/forum/viewtopic.php?t=27771,3,2,0,0,1,1,1,1,0,negative
Itching and Burning Under Barrier Adhesive,https://www.uoaa.org/forum/viewtopic.php?t=27765,9,7,0,0,2,5,2,2,0,negative
Anyone else w summer skin issue?,https://www.uoaa.org/forum/viewtopic.php?t=27760,10,8,0,0,2,4,3,3,0,negative
Please help: serious problems with ileostomy,https://www.uoaa.org/forum/viewtopic.php?t=27751,10,4,0,0,6,2,1,7,0,negative
leaking around urosotomy bag,https://www.uoaa.org/forum/viewtopic.php?t=27741,3,2,0,0,1,0,2,1,0,negative
Diarrhea advice and help,https://www.uoaa.org/forum/viewtopic.php?t=27734,1,1,0,0,0,1,0,0,0,negative
Okay just to let you all know I'm doing better now,https://www.uoaa.org/forum/viewtopic.php?t=27709,2,1,0,0,1,2,0,0,0,negative
Wrap for Hollister 8331 pouch,https://www.uoaa.org/forum/viewtopic.php?t=27711,6,2,0,0,4,2,0,4,0,neutral
"It's been 9 days, same bag, any long-term issues?",https://www.uoaa.org/forum/viewtopic.php?t=27669,2,0,0,0,2,1,0,1,0,positive
Ostomy Bag leakage,https://www.uoaa.org/forum/viewtopic.php?t=27702,1,1,0,0,0,1,0,0,0,negative
Noise control,https://www.uoaa.org/forum/viewtopic.php?t=26790,1,1,0,0,0,1,0,0,0,negative
Revel Ostomy Products -- Avoid Pancaking?,https://www.uoaa.org/forum/viewtopic.php?t=27675,1,0,0,0,1,1,0,0,0,neutral
"Help, suggestions and ideas",https://www.uoaa.org/forum/viewtopic.php?t=27692,15,2,0,1,12,5,2,8,0,negative
Need an extended collection canister for driving,https://www.uoaa.org/forum/viewtopic.php?t=27676,3,0,0,0,3,0,0,3,0,negative
Coloplast filters. Are they any better?,https://www.uoaa.org/forum/viewtopic.php?t=27649,4,1,0,1,2,1,0,3,0,neutral
"Okay, I've resorted to using construction glue",https://www.uoaa.org/forum/viewtopic.php?t=27680,4,0,0,0,4,2,1,1,0,neutral
"The more I learn, the more I'm convinced us humans were not meant originally to eat vegetables or seafood",https://www.uoaa.org/forum/viewtopic.php?t=27677,1,0,0,1,0,0,1,0,0,negative
New to this and a couple of questions,https://www.uoaa.org/forum/viewtopic.php?t=27679,7,5,0,0,2,3,1,3,0,negative
Ostomy Bag Collection,https://www.uoaa.org/forum/viewtopic.php?t=27678,1,0,0,0,1,1,0,0,0,negative
Okay no leaks but...,https://www.uoaa.org/forum/viewtopic.php?t=27672,2,0,0,0,2,1,0,1,0,negative
The greatest advice I've received on this forum!,https://www.uoaa.org/forum/viewtopic.php?t=27674,2,1,0,0,1,2,0,0,0,positive
Any clues that your stoma will be quiet for a bag change?,https://www.uoaa.org/forum/viewtopic.php?t=27664,1,0,0,0,1,1,0,0,0,neutral
